meta	text	left	key_phrase	right	key_phrase	key_lemma	key_word	id	ip	country	random	cleft
5c00770ca86e9f4d9202849c45028a4e2b1d,88.198.22.87,DE,1	                                        mit Spidey , auf einmal tobte der Bär . < Ist /|sein|  aber /|aber|  schon /|schon|  wieder /|wieder|  am /|an|  abflauten /|abflauen| > . 19.07.2002 , 01:12 schade . TomQuarz                                 	                                        mit Spidey , auf einmal tobte der Bär . 	Ist aber schon wieder am abflauten	 . 19.07.2002 , 01:12 schade . TomQuarz                                 	Ist aber schon wieder am abflauten	abflauen	abflauten	5c00770ca86e9f4d9202849c45028a4e2b1d	88.198.22.87	DE	930	
f78c90a4ecd3f163c2860564ad5bf14063bd,80.237.186.220,DE,1	                                      nur sowas bis größe 46 oder so lg ja Ebay < bin /|sein|  ich /|ich|  auch /|auch|  schon /|schon|  am /|an|  abgrasen /|abgrasen| > , aber da finden sich meist diese Gothic                               	                                      nur sowas bis größe 46 oder so lg ja Ebay 	bin ich auch schon am abgrasen	 , aber da finden sich meist diese Gothic                               	bin ich auch schon am abgrasen	abgrasen	abgrasen	f78c90a4ecd3f163c2860564ad5bf14063bd	80.237.186.220	DE	883	
31ce002e8bb45bb6bfdb0b615fa049c6af6a,62.141.59.185,DE,1	                                     sehen , ob die Hornhaut verletzt ist . Die < war /|sein|  auch /|auch|  verletzt /|verletzen|  aber /|aber|  schon /|schon|  wieder /|wieder|  am /|an|  abheilen /|abheilen| > . Er meinte das dieser Herpesvirus die                                 	                                     sehen , ob die Hornhaut verletzt ist . Die 	war auch verletzt aber schon wieder am abheilen	 . Er meinte das dieser Herpesvirus die                                 	war auch verletzt aber schon wieder am abheilen	abheilen	abheilen	31ce002e8bb45bb6bfdb0b615fa049c6af6a	62.141.59.185	DE	586	
ae7f335455e100a2bdc3febaed48ffc4f828,62.75.150.243,DE,0	                       Antibiotika schlägt hier an und die Bisswunde < ist /|sein|  am /|am|  Abheilen /|abheilen| > . Ich sprach leise zu FEE und streichelte                    	                       Antibiotika schlägt hier an und die Bisswunde 	ist am Abheilen	 . Ich sprach leise zu FEE und streichelte                    	ist am Abheilen	abheilen	Abheilen	ae7f335455e100a2bdc3febaed48ffc4f828	62.75.150.243	DE	1364	
0be25fd530a2ec078d42d5a59c1c243a10d8,85.214.250.105,DE,1	                                       letzte Woche den Kopf angeschlagen hat , < ist /|sein|  aber /|aber|  gut /|gut|  am /|an|  Abheilen /|abheilen| > . :zwinker: Gruß Klaus 15.03.2011 , 20:43                              	                                       letzte Woche den Kopf angeschlagen hat , 	ist aber gut am Abheilen	 . :zwinker: Gruß Klaus 15.03.2011 , 20:43                              	ist aber gut am Abheilen	abheilen	Abheilen	0be25fd530a2ec078d42d5a59c1c243a10d8	85.214.250.105	DE	1478	
ee64c112d2dd5ec6e131f60d4e48e3c132f2,109.239.56.56,DE,1	                                entweder den TK der PS oder Flabzielflüge . Ich < bin /|sein|  noch /|noch|  am /|an|  abklären /|abklären| > , ob es definitiv so ist . 19.12.08 , 11:23                            	                                entweder den TK der PS oder Flabzielflüge . Ich 	bin noch am abklären	 , ob es definitiv so ist . 19.12.08 , 11:23                            	bin noch am abklären	abklären	abklären	ee64c112d2dd5ec6e131f60d4e48e3c132f2	109.239.56.56	DE	57	
ca6ba39b361ac84b785b4fef5f09dff21546,213.61.150.15,DE,0	                                   verklebte Augen dann wieder Schnupfen . Kaum < ist /|sein|  es /|es|  am /|an|  abklingen /|abklingen| > kommt es sofort wieder . Die Kitten sind                               	                                   verklebte Augen dann wieder Schnupfen . Kaum 	ist es am abklingen	 kommt es sofort wieder . Die Kitten sind                               	ist es am abklingen	abklingen	abklingen	ca6ba39b361ac84b785b4fef5f09dff21546	213.61.150.15	DE	365	
373d057b49d1d75272deebac1822d74a42cf,188.93.8.182,DE,1	                                       und Quentakehl genommen . Aber der Schub < war /|sein|  wohl /|wohl|  eh /|eh|  schon /|schon|  am /|an|  abklingen /|abklingen| > , wobei mein Arzt inzwischen von einer                                 	                                       und Quentakehl genommen . Aber der Schub 	war wohl eh schon am abklingen	 , wobei mein Arzt inzwischen von einer                                 	war wohl eh schon am abklingen	abklingen	abklingen	373d057b49d1d75272deebac1822d74a42cf	188.93.8.182	DE	870	
f63d857da3facd84577dc42c112d3a9316d9,87.230.45.148,DE,1	                            Hals , außerdem flüssiger Stuhl . Herpes < ist /|sein|  am /|am|  abklingen /|abklingen| > , doch nach dieser Zeit normal . Die Schmerzen               	                            Hals , außerdem flüssiger Stuhl . Herpes 	ist am abklingen	 , doch nach dieser Zeit normal . Die Schmerzen               	ist am abklingen	abklingen	abklingen	f63d857da3facd84577dc42c112d3a9316d9	87.230.45.148	DE	1829	
69a43caf7a58ba9b5998335fc13d92b9d572,188.40.51.138,DE,0	                                        der Hand hatte . Aber frag mich mal . , < bin /|sein|  eh /|eh|  nur /|nur|  am /|an|  abkotzen /|abkotzen| > .. Hab mir das hier grad mal durchgelesen                              	                                        der Hand hatte . Aber frag mich mal . , 	bin eh nur am abkotzen	 .. Hab mir das hier grad mal durchgelesen                              	bin eh nur am abkotzen	abkotzen	abkotzen	69a43caf7a58ba9b5998335fc13d92b9d572	188.40.51.138	DE	1006	
bb31b69cea4e7e6af1fd3ed8f4faba7e002c,87.106.8.150,DE,1	                                     die Funktion irgendwie zu deaktivieren ??? < Bin /|sein|  echt /|echt|  voll /|voll|  am /|an|  abkotzen /|abkotzen| > wegen diesem Dreck :( Danke für eure Hilfe                             	                                     die Funktion irgendwie zu deaktivieren ??? 	Bin echt voll am abkotzen	 wegen diesem Dreck :( Danke für eure Hilfe                             	Bin echt voll am abkotzen	abkotzen	abkotzen	bb31b69cea4e7e6af1fd3ed8f4faba7e002c	87.106.8.150	DE	1970	
4fd2c1387c5f4dc2e37617a8460ea5032663,85.13.141.143,DE,0	                                   Heute sieht wesentlich besser aus , das Brot < ist /|sein|  aber /|aber|  noch /|noch|  am /|an|  abkühlen /|abkühlen| > und ich habe es diesesmal rund gewirkt                                 	                                   Heute sieht wesentlich besser aus , das Brot 	ist aber noch am abkühlen	 und ich habe es diesesmal rund gewirkt                                 	ist aber noch am abkühlen	abkühlen	abkühlen	4fd2c1387c5f4dc2e37617a8460ea5032663	85.13.141.143	DE	1764	
6e66e95d2b86b7ce81baf2733c537a67b2e4,213.165.88.77,DE,1	                                       das ich seit echt langem gespielt habe . < Bin /|sein|  nur /|nur|  am /|am|  ablachen /|ablachen| > . Total cool :D lmno 860 03.03.2009 , 10:10                            	                                       das ich seit echt langem gespielt habe . 	Bin nur am ablachen	 . Total cool :D lmno 860 03.03.2009 , 10:10                            	Bin nur am ablachen	ablachen	ablachen	6e66e95d2b86b7ce81baf2733c537a67b2e4	213.165.88.77	DE	879	
bf61c87554173fce353f46e1ff96763e16f8,85.13.141.250,DE,0	                                     ??? Als sie einen Maulwurfhügel anpeilte , < war /|sein|  ich /|ich|  schon /|schon|  am /|an|  ablachen /|ablachen| > , weil sie es wohl im Schnee für einen                                 	                                     ??? Als sie einen Maulwurfhügel anpeilte , 	war ich schon am ablachen	 , weil sie es wohl im Schnee für einen                                 	war ich schon am ablachen	ablachen	ablachen	bf61c87554173fce353f46e1ff96763e16f8	85.13.141.250	DE	1550	
7e065ba2a58fa41d593fad1921836115e617,87.230.46.232,DE,1	                                freudige nachricht ! die 2 wo die anderen jagen < sind /|sein|  grade /|Grad|  am /|an|  ablaichen /|ablaichen| > . kein wuder das die gejagt werden . ich                               	                                freudige nachricht ! die 2 wo die anderen jagen 	sind grade am ablaichen	 . kein wuder das die gejagt werden . ich                               	sind grade am ablaichen	ablaichen	ablaichen	7e065ba2a58fa41d593fad1921836115e617	87.230.46.232	DE	1108	
24df60452e803d7bab2d42854d92de5b4227,46.4.113.54,DE,0	                                       Nimmt man zuerst Wasser ab ? Hallo , ich < bin /|sein|  seit /|seit|  6 /|6|  Tagen /|Tag|  am /|an|  abnehmen /|abnehmen| > . Mache täglich eine Stunde Sport , achte                              	                                       Nimmt man zuerst Wasser ab ? Hallo , ich 	bin seit 6 Tagen am abnehmen	 . Mache täglich eine Stunde Sport , achte                              	bin seit 6 Tagen am abnehmen	abnehmen	abnehmen	24df60452e803d7bab2d42854d92de5b4227	46.4.113.54	DE	368	
2e6de96dbb0669bc63d0a86e7725a4d89011,62.138.110.225,DE,0	                                        gern nen Burger von McDonalds oder so ! < Bin /|sein|  allerdings /|allerdings|  am /|am|  abnehmen /|abnehmen| > und darf nicht . Deshalb lenke ich mich                                	                                        gern nen Burger von McDonalds oder so ! 	Bin allerdings am abnehmen	 und darf nicht . Deshalb lenke ich mich                                	Bin allerdings am abnehmen	abnehmen	abnehmen	2e6de96dbb0669bc63d0a86e7725a4d89011	62.138.110.225	DE	475	
b8b132495ebb3821d6a071fe48e14226a56a,46.4.113.54,DE,0	                                       Abends ( Viel EW , wenig KH ) : Hi , ich < bin /|sein|  ja /|ja|  jetzt /|jetzt|  seit /|seit|  ca /|ca|  1,5 /|1,5|  Monaten /|Monat|  am /|an|  abnehmen /|abnehmen| > und habe meine Ernährung halt so geregelt                              	                                       Abends ( Viel EW , wenig KH ) : Hi , ich 	bin ja jetzt seit ca 1,5 Monaten am abnehmen	 und habe meine Ernährung halt so geregelt                              	bin ja jetzt seit ca 1,5 Monaten am abnehmen	abnehmen	abnehmen	b8b132495ebb3821d6a071fe48e14226a56a	46.4.113.54	DE	919	
b8f41679c0568c68de3072b3e3587c9434fe,82.165.37.115,DE,0	                                        hautlappen bilden ? Hallöchen an alle , < bin /|sein|  gerade /|gerade|  am /|am|  abnehmen /|abnehmen| > und frage mich , ob 1 - 2 kilo die woche                               	                                        hautlappen bilden ? Hallöchen an alle , 	bin gerade am abnehmen	 und frage mich , ob 1 - 2 kilo die woche                               	bin gerade am abnehmen	abnehmen	abnehmen	b8f41679c0568c68de3072b3e3587c9434fe	82.165.37.115	DE	1235	
951260d53320c1d4ab634cd6ea11d6ee49ca,213.239.222.208,DE,1	                                        Hanteltraining und gehe spazieren . Ich < bin /|sein|  noch /|noch|  fleißig /|fleißig|  am /|an|  abnehmen /|abnehmen| > , weil ich endlich einen flachen , durchtrainierten                    	                                        Hanteltraining und gehe spazieren . Ich 	bin noch fleißig am abnehmen	 , weil ich endlich einen flachen , durchtrainierten                    	bin noch fleißig am abnehmen	abnehmen	abnehmen	951260d53320c1d4ab634cd6ea11d6ee49ca	213.239.222.208	DE	1543	
7b4a966df4e63303a1b8e0cba7830fa7b48c,91.103.143.4,DE,1	                                   wiege 58 Kilo bei einer Grösse von 1.68. Ich < bin /|sein|  schon /|schon|  am /|an|  abnehmen /|abnehmen| > und weiss , dass ich eine schönere Figur                               	                                   wiege 58 Kilo bei einer Grösse von 1.68. Ich 	bin schon am abnehmen	 und weiss , dass ich eine schönere Figur                               	bin schon am abnehmen	abnehmen	abnehmen	7b4a966df4e63303a1b8e0cba7830fa7b48c	91.103.143.4	DE	1560	
d437881235d16c474a04be7820081555b0af,178.63.131.66,DE,1	                                   17.11.2009 , 21:37 Glückwunsch !!! Die Monde < sind /|sein|  dieses /|dies|  Jahr /|Jahr|  aber /|aber|  schwer /|schwer|  am /|an|  abräumen /|abräumen| > : EMA , Bambi ... , sie haben 's sich verdient                         	                                   17.11.2009 , 21:37 Glückwunsch !!! Die Monde 	sind dieses Jahr aber schwer am abräumen	 : EMA , Bambi ... , sie haben 's sich verdient                         	sind dieses Jahr aber schwer am abräumen	abräumen	abräumen	d437881235d16c474a04be7820081555b0af	178.63.131.66	DE	164	
ce2733b97241a3d0224d301076c471e72964,87.106.34.70,DE,0	                                Hingebungsvolle spielte ich die Luftgitarre und < war /|sein|  vor /|vor|  dem /|die|  Spiegel /|Spiegel|  so /|so|  richtig /|richtig|  am /|an|  Abrocken /|abrocken| > . Doch dann kann plötzlich meine Mutter                                	                                Hingebungsvolle spielte ich die Luftgitarre und 	war vor dem Spiegel so richtig am Abrocken	 . Doch dann kann plötzlich meine Mutter                                	war vor dem Spiegel so richtig am Abrocken	abrocken	Abrocken	ce2733b97241a3d0224d301076c471e72964	87.106.34.70	DE	587	
20e4bfc178b2f5c27e74cbfe65a413956bb8,85.190.0.100,DE,0	                                KVM-Events ) , Thomas Michael und Tina Lackmann < waren /|sein|  seitlich /|seitlich|  der /|die|  Bühne /|Bühne|  sogar /|sogar|  am /|an|  abrocken /|abrocken| > . Für SANDY CHRISTEN war es fast ein Heimspiel                         	                                KVM-Events ) , Thomas Michael und Tina Lackmann 	waren seitlich der Bühne sogar am abrocken	 . Für SANDY CHRISTEN war es fast ein Heimspiel                         	waren seitlich der Bühne sogar am abrocken	abrocken	abrocken	20e4bfc178b2f5c27e74cbfe65a413956bb8	85.190.0.100	DE	871	
3d866600cfdd1e5afed4f25d3c69d300e01f,178.63.131.66,DE,1	                                        Lieder angehört ! Und die 1. + 2. Reihe < waren /|sein|  jetzt /|jetzt|  ja /|ja|  auch /|auch|  nicht /|nicht|  nur /|nur|  am /|an|  abrocken /|abrocken| > und ich glaube da ward ihr doch vertreten                              	                                        Lieder angehört ! Und die 1. + 2. Reihe 	waren jetzt ja auch nicht nur am abrocken	 und ich glaube da ward ihr doch vertreten                              	waren jetzt ja auch nicht nur am abrocken	abrocken	abrocken	3d866600cfdd1e5afed4f25d3c69d300e01f	178.63.131.66	DE	1551	
cdf46c9fb99a1bb9d4378834db79364f061a,87.230.105.44,DE,0	                                      Tricks . Danke Manu :O Marlies Vielleicht < ist /|sein|  dein /|dein|  Vitamin /|Vitamin|  B /|B|  12 /|12|  Speicher /|Speicher|  am /|an|  absacken /|absacken| > , oder dein Blutdruck ist zu niedrig .                                 	                                      Tricks . Danke Manu :O Marlies Vielleicht 	ist dein Vitamin B 12 Speicher am absacken	 , oder dein Blutdruck ist zu niedrig .                                 	ist dein Vitamin B 12 Speicher am absacken	absacken	absacken	cdf46c9fb99a1bb9d4378834db79364f061a	87.230.105.44	DE	736	
e305871f011a95e7453c082108a665872795,89.238.75.226,DE,0	                   Gluckenturm " bedeuten - Alarm , Alarm , die EMMA < ist /|sein|  am /|am|  absaufen /|absaufen| > ! Muyserin says : Verschwiemelte Frauenfeindlichkeit         	                   Gluckenturm " bedeuten - Alarm , Alarm , die EMMA 	ist am absaufen	 ! Muyserin says : Verschwiemelte Frauenfeindlichkeit         	ist am absaufen	absaufen	absaufen	e305871f011a95e7453c082108a665872795	89.238.75.226	DE	391	
4d42b49435d793b5c1b2a35d78e905f34a5a,188.40.73.75,DE,1	                                      krieg ich meine antwort doch noch los ... < war /|sein|  gestern /|gestern|  gerade /|gerade|  am /|an|  abschicken /|abschicken| > , dann lief nix mehr von dupont gibt 's                                	                                      krieg ich meine antwort doch noch los ... 	war gestern gerade am abschicken	 , dann lief nix mehr von dupont gibt 's                                	war gestern gerade am abschicken	abschicken	abschicken	4d42b49435d793b5c1b2a35d78e905f34a5a	188.40.73.75	DE	1082	
771c35916d2266865be52b389b031922e8cd,178.77.73.35,DE,1	                                      selbst wenn KEIOS am 2 . Weltkrieg schuld < war /|sein|  und /|und|  am /|am|  abschmelzen /|abschmelzen| > der Polkappen ... an der Gesundheitsreform                             	                                      selbst wenn KEIOS am 2 . Weltkrieg schuld 	war und am abschmelzen	 der Polkappen ... an der Gesundheitsreform                             	war und am abschmelzen	abschmelzen	abschmelzen	771c35916d2266865be52b389b031922e8cd	178.77.73.35	DE	1556	
f60862cd22f7e0ed835b2251f3aefbcb875a,213.239.211.43,DE,0	                                  selbst bei sehr großem Interesse an der Sache < sind /|sein|  Menschen /|Mensch|  stetig /|stetig|  am /|an|  abschweifen /|abschweifen| > . Die heutige Art der Kommunikation und                                	                                  selbst bei sehr großem Interesse an der Sache 	sind Menschen stetig am abschweifen	 . Die heutige Art der Kommunikation und                                	sind Menschen stetig am abschweifen	abschweifen	abschweifen	f60862cd22f7e0ed835b2251f3aefbcb875a	213.239.211.43	DE	699	
85a9ae304439101cbf7d41bb16407250d971,85.13.136.237,DE,1	                                      30.12.02 , 18:09 .. im Thread " Kinotip " < sind /|sein|  wir /|wir|  ja /|ja|  mittlerweile /|mittlerweile|  etwas /|etwas|  am /|an|  abschweifen /|abschweifen| > ... ein Grund für mich diesen Thread zu                                	                                      30.12.02 , 18:09 .. im Thread " Kinotip " 	sind wir ja mittlerweile etwas am abschweifen	 ... ein Grund für mich diesen Thread zu                                	sind wir ja mittlerweile etwas am abschweifen	abschweifen	abschweifen	85a9ae304439101cbf7d41bb16407250d971	85.13.136.237	DE	1097	
669dac8bea98849aab5deb2d72d792e34d33,80.77.17.2,DE,0	                                     mich beunruhigte , aber seit gestern Abend < ist /|sein|  er /|er|  wieder /|wieder|  am /|an|  absinken /|absinken| > und heute Morgen bin ich schon wieder ganz                             	                                     mich beunruhigte , aber seit gestern Abend 	ist er wieder am absinken	 und heute Morgen bin ich schon wieder ganz                             	ist er wieder am absinken	absinken	absinken	669dac8bea98849aab5deb2d72d792e34d33	80.77.17.2	DE	1577	
08f18f926a27da1bd2a990bc6a39ffbcfbff,80.237.132.125,DE,1	                                     als ich mich am wohlsten fühlte ) ... Drum < bin /|sein|  ich /|ich|  momentan /|momentan|  auch /|auch|  wieder /|wieder|  am /|an|  abspecken /|abspecken| > . Gestern war Müsli mit Joghurt Tag und                                	                                     als ich mich am wohlsten fühlte ) ... Drum 	bin ich momentan auch wieder am abspecken	 . Gestern war Müsli mit Joghurt Tag und                                	bin ich momentan auch wieder am abspecken	abspecken	abspecken	08f18f926a27da1bd2a990bc6a39ffbcfbff	80.237.132.125	DE	177	
3c56eb7d7da9e1252c9a2a808f0a2c254535,82.211.13.25,DE,1	                                      Der wird sicher richtig leicht sein , ich < bin /|sein|  auch /|auch|  grad /|gerade|  am /|an|  abspecken /|abspecken| > von meinem ... Die roten Stabis schauen                                	                                      Der wird sicher richtig leicht sein , ich 	bin auch grad am abspecken	 von meinem ... Die roten Stabis schauen                                	bin auch grad am abspecken	abspecken	abspecken	3c56eb7d7da9e1252c9a2a808f0a2c254535	82.211.13.25	DE	1654	
3bccaabdf4ff8b1678f26d86839f89905cd3,46.4.116.115,DE,1	                                        18:03 Grade im TV im WDR Aktuell ... da < sind /|sein|  hunderte /|(unknown)|  im /|in|  tunnel /|(unknown)|  blumen /|Blume|  am /|an|  abstellen /|abstellen| > Ja ich weiß ... war gerade da . Haben Blumen                           	                                        18:03 Grade im TV im WDR Aktuell ... da 	sind hunderte im tunnel blumen am abstellen	 Ja ich weiß ... war gerade da . Haben Blumen                           	sind hunderte im tunnel blumen am abstellen	abstellen	abstellen	3bccaabdf4ff8b1678f26d86839f89905cd3	46.4.116.115	DE	1199	
e97aaa22161ca94a1153c6ed4262ceb54121,80.77.17.2,DE,1	                                      die dann für den Cube rauskommen , der GC < ist /|sein|  nun /|nun|  leider /|leider|  am /|an|  absterben /|absterben| > , wenn man das so sagen kann , weil Nintendo                           	                                      die dann für den Cube rauskommen , der GC 	ist nun leider am absterben	 , wenn man das so sagen kann , weil Nintendo                           	ist nun leider am absterben	absterben	absterben	e97aaa22161ca94a1153c6ed4262ceb54121	80.77.17.2	DE	660	
50169f7c3934649e1992ae172a923e242a0a,88.198.64.135,DE,1	                                      dann warne ich dich auch nochmal : frames < sind /|sein|  veraltet /|veraltet|  und /|und|  am /|am|  absterben /|absterben| > ! css ist das stichwort ! und nimm auch                                	                                      dann warne ich dich auch nochmal : frames 	sind veraltet und am absterben	 ! css ist das stichwort ! und nimm auch                                	sind veraltet und am absterben	absterben	absterben	50169f7c3934649e1992ae172a923e242a0a	88.198.64.135	DE	1746	
c7f0c5afb7d89ec021aed978b8d4de40aa60,62.75.235.82,DE,1	                                       . Anbei ein erotisches Foto von mir . Da < bin /|sein|  ich /|ich|  gerade /|gerade|  ein /|eine|  paar /|paar|  Pfunde /|Pfund|  am /|an|  abtrainieren /|abtrainieren| > . Ich hoffe Dir gefallen meine schlanken                               	                                       . Anbei ein erotisches Foto von mir . Da 	bin ich gerade ein paar Pfunde am abtrainieren	 . Ich hoffe Dir gefallen meine schlanken                               	bin ich gerade ein paar Pfunde am abtrainieren	abtrainieren	abtrainieren	c7f0c5afb7d89ec021aed978b8d4de40aa60	62.75.235.82	DE	1132	obj
6d8277615ad25cb1f73b867811071301acd1,188.40.51.138,DE,0	                                        nur zum einrollen ... Oder wenn es kalt < wäre /|sein|  oder /|oder|  wenn /|wenn|  die /|die|  Strecke /|Strecke|  grad /|gerade|  so /|so|  am /|an|  abtrocknen /|abtrocknen| > ist ... Sorry für dich und deiner Sexy                                 	                                        nur zum einrollen ... Oder wenn es kalt 	wäre oder wenn die Strecke grad so am abtrocknen	 ist ... Sorry für dich und deiner Sexy                                 	wäre oder wenn die Strecke grad so am abtrocknen	abtrocknen	abtrocknen	6d8277615ad25cb1f73b867811071301acd1	188.40.51.138	DE	1908	
101536ef30e6aa4c62485908691e927efa61,87.106.240.209,DE,1	                                        01.11.2007 , 01:57 Nicht drängeln . Ich < bin /|sein|  noch /|noch|  am /|an|  abwägen /|abwägen| > von Vor - und Nachteilen und irgendwie                                 	                                        01.11.2007 , 01:57 Nicht drängeln . Ich 	bin noch am abwägen	 von Vor - und Nachteilen und irgendwie                                 	bin noch am abwägen	abwägen	abwägen	101536ef30e6aa4c62485908691e927efa61	87.106.240.209	DE	764	
137ecb0866648cf41cc235aad170d3fcb624,80.154.16.238,DE,1	                                        würde auch ' ne Menge Zeit kosten . Ich < bin /|sein|  noch /|noch|  am /|an|  abwägen /|abwägen| > . 11.01.2008 , 01:15 und warum sind nicht                              	                                        würde auch ' ne Menge Zeit kosten . Ich 	bin noch am abwägen	 . 11.01.2008 , 01:15 und warum sind nicht                              	bin noch am abwägen	abwägen	abwägen	137ecb0866648cf41cc235aad170d3fcb624	80.154.16.238	DE	1511	
6a1638355012c628908ebb3d66a559cc76ba,80.237.132.215,DE,1	                                        Zweitgehäuse gut ausreichen . Meine S 3 < ist /|sein|  verkauft /|verkaufen|  und /|und|  ich /|ich|  bin /|sein|  jetzt /|jetzt|  mal /|mal|  am /|an|  abwarten /|abwarten| > , was sonst noch so zur Photokina kommt                                	                                        Zweitgehäuse gut ausreichen . Meine S 3 	ist verkauft und ich bin jetzt mal am abwarten	 , was sonst noch so zur Photokina kommt                                	ist verkauft und ich bin jetzt mal am abwarten	abwarten	abwarten	6a1638355012c628908ebb3d66a559cc76ba	80.237.132.215	DE	763	
