Source	Left	Key1	Right	Year	Decade	Lemma
NUN91	Urban verblutet. Die Katastrophe	ist programmiert.	Von allen Seiten brechen mit	1991	1995	programmiert
N91	Erinnern und Wegschmelzen. Die Wirkung	ist programmiert,	für Experimente ist kein	1991	1995	programmiert
Z91	Das Ende des Deutschlandsenders Kultur	ist programmiert,	denn Mühlfenzl, der	1991	1995	programmiert
N91	erfährt; die Schwierigkeiten allerdings	sind vorprogrammiert.	Die hierzulande noch	1991	1995	vorprogrammiert
N91	und umgekehrt. Die Konflikte	sind programmiert.	Hier die nur ihrem Fach,	1991	1995	programmiert
N91	Neue schwere Konflikte	sind programmiert	Der Entwaffnungsbefehl des	1991	1995	programmiert
N91	Verlierer. Seine Karriere als Krimineller	ist vorprogrammiert.	Aus einer unbehüteten	1991	1995	vorprogrammiert
N91	zwischen Lehrbetrieb und Berufsschule,	ist vorprogrammiert.	Im Bundesland Salzburg	1991	1995	vorprogrammiert
N91	zwischen Lehrbetrieb und Berufsschule,	ist vorprogrammiert.	Im Bundesland Salzburg	1991	1995	vorprogrammiert
N91	- Konflikte mit Grundbesitzern	sind programmiert	Von Anna Steinkeller,	1991	1995	programmiert
N91	Ein Millionengeschäft	ist programmiert	Im Auftrag und unter Alexandra	1991	1995	programmiert
P91	gegnerischen Gruppen formieren. Der Kampf	ist vorprogrammiert,	auch wenn er nur als	1991	1995	vorprogrammiert
NUN91	Der Zusammenbruch dieser Illusion	ist vorprogrammiert,	als die Frauen	1991	1995	vorprogrammiert
P91	die er aufdecken soll, immer nachläuft,	ist vorprogrammiert.	Die Beamten sehen sich vor	1991	1995	vorprogrammiert
NUN91	Das schnelle Ende der Band	ist vorprogrammiert,	das Warten auf Wilson	1991	1995	vorprogrammiert
N91	verdient und aufgeben muß. Die Empörung	ist programmiert:	Zu Lasten der thailändischen	1991	1995	programmiert
N91	Anleihemarkt unter Druck. Die Konsequenz	ist programmiert:	Die Talfahrt der Erträge in	1991	1995	programmiert
N91	besonders empfindlich, Langzeiteffekte	sind programmiert,	genetische Veränderungen	1991	1995	programmiert
NUN91	ist kein Wagnis. Der Publikumszuspruch	ist programmiert	und gewiß. Aber so willkommen	1991	1995	programmiert
N91	die den Sheltons gehört. Ein Verwirrspiel	ist programmiert	in dieser Disney-Komödie	1991	1995	programmiert
N91	Mal ohne Ausschreibung - RH-Kritik Nr. 2	ist programmiert.	Seit 1973 ist in Obertrum	1991	1995	programmiert
P91	zu formen, doch sein Scheitern	ist vorprogrammiert.	Auf einem nächtlichen	1991	1995	vorprogrammiert
NUN91	Vorstandsebene laufen. Auf solche Weise	ist vorprogrammiert,	daß ein jedes	1991	1995	vorprogrammiert
P91	als Kosmetikerinnen arbeiten. "Proteste	sind vorprogrammiert,	da wir uns in heikle	1991	1995	vorprogrammiert
N91	die Firmung zu spenden - neue Konflikte	sind programmiert.	Doch den Priestern reicht	1991	1995	programmiert
N91	dello Sport", "die Invasion und das Chaos	sind programmiert.	Nicht auszudenken, was bei	1991	1995	programmiert
P91	mit Angst vor Schwangerschaften	ist programmiert	zur rundesten Figur - im	1991	1995	programmiert
NUN91	Höhe umsteigen zu müssen: Der Absturz	ist programmiert.	Die Auffanglager der Kommunen	1991	1995	programmiert
P91	Budapest aufschloß. Ein Dreikampf	ist programmiert,	wenn ab Anfang Jänner wieder	1991	1995	programmiert
N91	mit der ÖVP um die geplante Gesetznovelle	sind programmiert.	In der internen	1991	1995	programmiert
P91	Die Krise der einstigen Sport-Supermacht	ist programmiert.	Sergej, der Weltstar aus	1991	1995	programmiert
NUN92	der Fahrer fast nichts mehr, ein Unfall	ist programmiert.	Windschutzscheiben sind also	1992	1995	programmiert
P92	wird, doch eine schmerzliche Entwicklung	ist vorprogrammiert.	Derzeit gibt es in	1992	1995	vorprogrammiert
N92	sommerliche Verkehrschaos in St. Johann	ist programmiert	Einspuriger Behelfsübergang	1992	1995	programmiert
U92	nur 37 Stunden. Und die nähere Zukunft	ist programmiert:	Im nächsten Jahr sind es 36	1992	1995	programmiert
N92	Alpenliga reagieren. Der Krach	ist programmiert:	Denn die Italiener fordern	1992	1995	programmiert
U92	sogar ohne deutsche Begleitung. Der Ärger	ist vorprogrammiert.	Außer der Reisende	1992	1995	vorprogrammiert
Z92	zur Ausführung bekommt. Der Niedergang	ist programmiert.	Die Übervölkerung des	1992	1995	programmiert
NUN92	gutgehen, und es geht nicht gut; Unheil	ist programmiert.	Und weil wir uns in der	1992	1995	programmiert
NUN92	ausgesetzt. Der Krach mit den Eltern	ist programmiert,	die Mitschüler spotten, die	1992	1995	programmiert
N92	zwei Meter für Fußgänger. "Der Konflikt	ist programmiert",	sagte Radwege-Koordinator	1992	1995	programmiert
NUN92	illusionäre Erwartungen. Enttäuschungen	sind vorprogrammiert.	(z. B. auch	1992	1995	vorprogrammiert
U92	über eine 'faire' Behandlung, Konflikte	sind programmiert.	Am längeren Hebel sitzt dann,	1992	1995	programmiert
NUN92	spielen große Welt, die Bauchlandung	ist vorprogrammiert.	Fehlt nur noch ein leidlich	1992	1995	vorprogrammiert
P92	gehortet würden. Etwaige Spekulationen	sind vorprogrammiert	- und damit der	1992	1995	vorprogrammiert
U92	ohnehin nichts mehr los. Der Zweikampf	ist programmiert.Der	Sendestart ist für den	1992	1995	programmiert
U92	Neid belebt das Geschäft. 'Na und, Streit	ist programmiert,	das war immer schon unser	1992	1995	programmiert
NUN92	auf eigenen Füßen oder nicht? Konflikte	sind vorprogrammiert,	wenn beide Seiten -	1992	1995	vorprogrammiert
N92	Auseinandersetzungen mit anderen Regionen	sind programmiert.	Überall nämlich wächst die	1992	1995	programmiert
U92	die entgegengesetzte Richtung. 'Das Chaos	ist programmiert.'	ehh	1992	1995	programmiert
U92	werden verstärkt, massive Störungen	sind vorprogrammiert.	Die neuen Schüler können	1992	1995	vorprogrammiert
N92	Konflikt zwischen Vater und Sohn	ist programmiert.	In James Foleys Krimi "Auf	1992	1995	programmiert
Z92	Versagen der Entwicklungshilfe-Projekte	ist programmiert,	sofern sie nicht durch	1992	1995	programmiert
P92	dabei sputen müssen, 1:01,30 Stunden	sind programmiert,	mehr als drei Minuten	1992	1995	programmiert
N92	im Sandschak und mit den Kosovo-Albanern	sind programmiert.	Im Zerfall Jugoslawiens zeigt	1992	1995	programmiert
NUN92	schreiben die Seelenforscher. Frust	ist vorprogrammiert	Wenn Frauen nicht Nein	1992	1995	vorprogrammiert
P92	Diskussionen geben. Die nächsten Streiks	sind vorprogrammiert.	In der Metall- und	1992	1995	vorprogrammiert
P92	Eine Fortsetzung des blutigen Konflikts	ist vorprogrammiert.		1992	1995	vorprogrammiert
N92	errechnet hat. Ein vermeidbarer Konflikt	ist programmiert.	Vor vier Jahren gerieten	1992	1995	programmiert
U92	ruft es aus der Küche. Der Ehekrach	ist programmiert.	David B. konnte sich beim	1992	1995	programmiert
Z92	der Elterninteressen. Der Konflikt	ist programmiert.	Viele Lehrer werden in ihm	1992	1995	programmiert
U92	etwas zu Bruch geht. Ein Verkehrschaos	ist programmiert,	wenn die Münchner ihr Auto	1992	1995	programmiert
NUN92	direkt ans Eingemachte. Solche Mätzchen	sind programmiert	und werden johlend	1992	1995	programmiert
U92	der Unfallzahlen führen. 'Die Unfälle	sind vorprogrammiert',	glaubt Danner, weil dann	1992	1995	vorprogrammiert
P92	Ein Konflikt um das Innenministerium	ist vorprogrammiert.	Staatspräsident Walesa will	1992	1995	vorprogrammiert
P92	WIEN (rk.). Das nächste Baustellenchaos	ist programmiert:	Einige zusätzliche	1992	1995	programmiert
NUN92	Entwurf: "Ein Ansteigen der Müllawine	ist programmiert.	Das Kürzel EWG kann künftig	1992	1995	programmiert
U92	den Worten: 'Ein Ansteigen der Müllawinen	ist vorprogrammiert.	Das Kürzel EWG kann künftig	1992	1995	vorprogrammiert
U92	Weiterer Ärger um das Fußball-Fernsehen	ist vorprogrammiert.	Die ARD will von dem 'Recht	1992	1995	vorprogrammiert
U92	Mitglied des IAAF-Councils. * DER EKLAT	ist programmiert:	Michael Jordan,	1992	1995	programmiert
Z92	Diplom noch schwerer zu erlangen.  Klagen	sind programmiert,	wenn an Universitäten ohne	1992	1995	programmiert
U92	rechnet. Der Konflikt Landsberg-Kaufering	ist programmiert.	Oberbürgermeister Rößle will	1992	1995	programmiert
U92	Wohnungsmarkt: Soziale Katastrophe	ist programmiert	Zu: 'Die bezahlbare und	1992	1995	programmiert
P92	Der heiße Herbst	ist programmiert	Gewerkschaften fast überall	1992	1995	programmiert
Z92	der Mitarbeiter bleibt keine Zeit. So	ist programmiert,	daß der technische	1992	1995	programmiert
NUN92	noch, und der Rückfall in die Falle	ist vorprogrammiert.	Ihre abgelegten Männer,	1992	1995	vorprogrammiert
N92	Weitere Aeroflot-Katastrophen	sind programmiert	Von Jens P. Dorner,	1992	1995	programmiert
NUN92	am Hals. Die Unübersichtlichkeit	ist programmiert:	Die Ex-Frau nervt Richard	1992	1995	programmiert
U92	und kann. Heftige Auseinandersetzungen	sind programmiert.	Der Zwang zum eisernen Sparen	1992	1995	programmiert
NUN92	des Konkurrenzgebarens im Luftverkehr -	sind programmiert.	Aber so ganz stimmt, wie der	1992	1995	programmiert
NUN92	Schritt in Richtung 35-Stunden-Woche	ist vorprogrammiert.	Mit dem Beschluß, die	1992	1995	vorprogrammiert
N92	von John Carpenters berühmter Komödie -	ist programmiert,	denn eine Geheimorganisation	1992	1995	programmiert
U92	/ Von Carl E. Buchalla Der Konflikt	ist programmiert.	Er beruht auf einem einfachen,	1992	1995	programmiert
P92	Der Erfolg bei Publikum und Kritik	ist vorprogrammiert.	"Es geht mir darum", sagt	1992	1995	vorprogrammiert
P92	über den EG-Sondergipfel in Birmingham	ist vorprogrammiert.	Das Treffen der zwölf	1992	1995	vorprogrammiert
U92	den öffentlich-rechtlichen Monopolbetrieb	ist programmiert.	Denn der ORF kann seinen	1992	1995	programmiert
U92	aufgeben. Aber Veränderungen	sind programmiert.	Denn der Staat hat bereits	1992	1995	programmiert
P92	hinnehmen. Die nächste Änderung	ist programmiert	Natürlich besteht die	1992	1995	programmiert
NUN92	Selbstanklage mißlingt. Das Scheitern	ist vorprogrammiert,	sobald sich der Vorhang	1992	1995	vorprogrammiert
NUN92	Ära. Die Zukunft des Konservatoriums	ist programmiert;	der Aufstieg zur	1992	1995	programmiert
Z92	entscheidet mit. Die Interessenkollision	ist programmiert,	sollten sich auf dem	1992	1995	programmiert
N92	Fehler	sind programmiert	Von Karin Zauner SALZBURG.	1992	1995	programmiert
NUN92	die nächste Tarifrunde Metall im Januar	ist programmiert:	IG-Metall-Chef Franz	1992	1995	programmiert
NUN92	bedacht wurde. "Das Scheitern	ist vorprogrammiert,	sobald sich der Vorhang	1992	1995	vorprogrammiert
U92	im Bundesrat zustimmen müssen,	ist programmiert.	Die Länder verlangen mehr	1992	1995	programmiert
P92	abgeführt werden muß. Ein Konflikt	ist vorprogrammiert:	Die Kreditkartenfirmen	1992	1995	vorprogrammiert
P92	individuell erkämpfen. Ein Konflikt	ist vorprogrammiert.	"Ich lasse unseren Leuten	1992	1995	vorprogrammiert
N92	Kongreß so oder so. Organisationspannen	sind programmiert,	technische Defekte	1992	1995	programmiert
NUN92	In der Decke ist ein Riß. Der Untergang	ist programmiert.	Die bürgerliche Rosette,	1992	1995	programmiert
N92	hohen Arbeitslosigkeit in der Slowakei	sind vorprogrammiert.	Viele Tschechen befürchten	1992	1995	vorprogrammiert
U92	Vaters, Lehrers, Propheten. Die Konflikte	sind vorprogrammiert.	Der Kandidat Henrik	1992	1995	vorprogrammiert
Z92	Gully. Die Phantasie dieses Sprechenden	ist programmiert	mit Verdrängtem, ist verzerrt	1992	1995	programmiert
NUN93	und Schulter einklemmen - der Crash	ist programmiert."	Und die Freisprechtelefone?	1993	1995	programmiert
P93	Dannhauser WIEN. Die Mega-Metropole Wien	ist vorprogrammiert,	von einem einheitlichen	1993	1995	vorprogrammiert
NUN93	Schauer über den Rücken. Der Dauerstau	ist programmiert,	die Verkehrs-Katastrophe in	1993	1995	programmiert
P93	Der nächste Bürgerkrieg in Afrika	ist vorprogrammiert.	Hält Kenias neuer, alter	1993	1995	vorprogrammiert
N93	Krawagna-Pfeifer WIEN. "Das Chaos	ist programmiert	durch das falsche Selbstbild.	1993	1995	programmiert
N93	nicht von ungefähr. Weitere Katastrophen	sind programmiert.	Die Gigantonomie der	1993	1995	programmiert
N93	billig. Das babylonische Sprachengewirr	ist programmiert.	Aber das ist noch nicht	1993	1995	programmiert
U93	Kopf und Schulter einklemmen - der Crash	ist programmiert.'	Und die Freisprechtelephone?	1993	1995	programmiert
U93	Rang vier. Der Aufstieg in die Bundesliga	ist programmiert.	Trainer Volker Finke: 'Die	1993	1995	programmiert
U93	Feierabend und die Frauen. Der Konflikt	ist vorprogrammiert:	Der traditionelle	1993	1995	vorprogrammiert
U93	schließen. Ärger auf beiden Seiten	ist programmiert.	Natürlich könnten die Banken	1993	1995	programmiert
U93	'DIE KATASTROPHE, auf die wir zusteuern,	ist programmiert':	Andras Fricsay. Photo:	1993	1995	programmiert
U93	- die Katastrophe, auf die wir zusteuern,	ist programmiert.	Hilferufe häufen sich in einer	1993	1995	programmiert
U93	Kopf und Schulter einklemmen - der Crash	ist programmiert.'	Und die Freisprechtelephone:	1993	1995	programmiert
NUN93	Kruschels Küche und Bad. Die Probleme	sind programmiert:	Der gelernte Radiotechniker	1993	1995	programmiert
P93	Nein zu Yen-Aufwertung G-7-Streit	ist vorprogrammiert	Von unserer Korrespondentin	1993	1995	vorprogrammiert
U93	Konflikt zwischen Nord und Süd	ist programmiert.	Das wirtschaftliche	1993	1995	programmiert
P93	nichts nützen. "Der Rückfall	ist programmiert."	Habers Botschaft lautet	1993	1995	programmiert
P93	in den stromführenden Kabeln, der Absturz	ist vorprogrammiert.	Die Hochspannungsleitung	1993	1995	vorprogrammiert
U93	auf der Straße. Der nächste Frust	ist programmiert,	denn in einer Krisenregion	1993	1995	programmiert
N93	führen; Wählerfrust und Richtungsstreit	sind programmiert.	Den größten Teil ihrer	1993	1995	programmiert
N93	zu nichts führen. Der Druck auf die Bahn	ist programmiert,	sich doch nicht zu zieren und	1993	1995	programmiert
U93	und zu entscheiden. Widerstreit	ist programmiert.	Die Gefahr, daß die 35 500	1993	1995	programmiert
U93	Wiedergutmachung. Aber Mißverständnisse	sind programmiert.	'Aboriginal Art' - so wie	1993	1995	programmiert
N93	ich garantiere Ihnen, die Aussiedlung	ist programmiert!"	Er lacht ein böses, zahnloses	1993	1995	programmiert
N93	Der Ausverkauf	ist programmiert	Zu "Grundverkehrsgesetz: ÖVP	1993	1995	programmiert
N93	zum Dichterstein in Oberösterreich	sind programmiert.	Die Spezialeinheiten sind	1993	1995	programmiert
Z93	nicht einschüchtern, der weitere Anstieg	ist programmiert.	Wird Sicherheit bald	1993	1995	programmiert
U93	und den 13 weiteren Verhandlungstagen	ist programmiert.	Auch türkische und	1993	1995	programmiert
Z93	Liste entstand.  Kontroverse Diskussion	ist programmiert.	So wird im Abschnitt	1993	1995	programmiert
NUN93	Konzeptions-Kompetenz. Der Konflikt	ist programmiert.	Da helfen auch die schönen	1993	1995	programmiert
Z93	Tauziehen zwischen Land und Gemeinde	ist programmiert;	die Abschiebehaftanstalt wird	1993	1995	programmiert
N93	für Mehreinnahmen sorgen. Der Konflikt	ist programmiert.	Aber nicht nur an dieser	1993	1995	programmiert
U93	bekommen hat. Das heillose Durcheinander	ist vorprogrammiert.	Ferner: Wie steht es mit	1993	1995	vorprogrammiert
P93	agieren? Schmidt: "Die große Koalition	ist vorprogrammiert,	weil die Wahl vor der	1993	1995	vorprogrammiert
P93	Ausrede von der unverschuldeten Zeitnot	sind vorprogrammiert.	Denn "geführt" werden die	1993	1995	vorprogrammiert
P93	aus dem Kreis der locals. Eine Krise	ist vorprogrammiert	Eine Krise ist trotzdem	1993	1995	vorprogrammiert
U93	Das Scheitern ihres Erziehungsauftrags	ist programmiert.	Beiläufig wird deutlich, daß	1993	1995	programmiert
N93	Konkurrenz genügt. Aber auch die Reaktion	ist programmiert:	Was soll denn mit den Bauern	1993	1995	programmiert
U93	Die Konkubine und ihre Herren Der Krach	ist programmiert	und findet am Gasteig statt.	1993	1995	programmiert
U93	oder am Leben erhalten wird. Der Ausgang	ist programmiert.	Politische und geographische	1993	1995	programmiert
P93	ersetzen können. Siehe oben - Rückfälle	sind programmiert.	Typisch...	1993	1995	programmiert
N93	ist selbstverständlich, Geldskandale	sind programmiert.	Das Uralt-Thema heißt	1993	1995	programmiert
U93	und Regisseur in Personalunion -	ist vorprogrammiert.	Aber auch sein heimlicher	1993	1995	vorprogrammiert
N93	Posten kämpfenden Personalvertretern	sind programmiert.	Die Stadt Salzburg	1993	1995	programmiert
P93	des häuslichen Kriegs im Herbst	ist vorprogrammiert,	weil Juri Ljubimow auf der	1993	1995	vorprogrammiert
N93	- vornehmlich dem Bundeskanzler -	sind programmiert.	Klestil selbst hat es	1993	1995	programmiert
C93	Teil des CNE-Programms." Updates	sind programmiert	Novell unterstützt die CNE	1993	1995	programmiert
P93	Monaten herauskristallisieren. Konflikte	sind vorprogrammiert,	der Personalabbau könnte	1993	1995	vorprogrammiert
Z93	mit dem neuen Finanzminister Japans	sind programmiert	Spitzenbürokrat Der	1993	1995	programmiert
NUN93	beansprucht zu werden. Überreaktionen	sind vorprogrammiert.	Alle Frauen oder alle	1993	1995	vorprogrammiert
N93	Einwanderungsgesetz braucht. Neue Ängste	sind programmiert.	Ohne ein spezielles	1993	1995	programmiert
U93	im Konjunkturtief Facharbeitermangel	ist programmiert	Berufsschullehrer warnen vor	1993	1995	programmiert
NUN93	soll es auch bleiben; Überraschungen	sind vorprogrammiert".	Daß die Nürnberger Szene	1993	1995	vorprogrammiert
NUN93	Hellwachsein der Gattin, die Konflikte	sind vorprogrammiert.	Meint zumindest der	1993	1995	vorprogrammiert
Z93	Spannungen heraufbeschworen. Beides	ist vorprogrammiert.	ZEIT:  Immerhin verlieren	1993	1995	vorprogrammiert
N93	wird. Konflikte in den Geschäften	sind programmiert	Diese wenigen Beispiele	1993	1995	programmiert
N93	Denn Irritationen und Enttäuschungen	sind programmiert.	Eltern lieben im Endergebnis	1993	1995	programmiert
P93	Das daraus resultierende Chaos	ist vorprogrammiert.	Es wird ein	1993	1995	vorprogrammiert
N93	SN-Korrespondent in Moskau Das Sakrileg	ist programmiert.	Seit russische Paradesoldaten	1993	1995	programmiert
N93	in Österreich bevor und die Konflikte	sind programmiert	- bieten ein weites	1993	1995	programmiert
NUN93	die Konflikte mit den Eltern	sind vorprogrammiert",	resümierte der	1993	1995	vorprogrammiert
U93	- speziell der Kinder -	sind programmiert.	Es fehlen warme Kleidung und	1993	1995	programmiert
Z93	Streit mit dem Nachbarn um die Armlehne	ist vorprogrammiert.	Eine alptraumhafte	1993	1995	vorprogrammiert
Z93	Streit mit dem Nachbarn um die Armlehne	ist vorprogrammiert.		1993	1995	vorprogrammiert
Z93	es ja auch schwer! Aber der Säkularismus	ist programmiert.	Auch im Kommunismus war er ja	1993	1995	programmiert
P93	vorgesetzt. WIEN (ag.). Handball-Hits	sind programmiert,	mehr oder weniger wie es	1993	1995	programmiert
U93	wieder auf: Der Eklat in der Show	ist programmiert	(ARD, 23.50 Uhr). Photo:	1993	1995	programmiert
U93	Bundesregierung Das Ende des Abenteuers	ist programmiert:	Die Bundeswehr zieht mit den	1993	1995	programmiert
N93	Spaß für die ganze Familie Der Erfolg	ist programmiert	Salzburg: "Das	1993	1995	programmiert
NUN93	geraten. Abstürze und Niederlagen	sind programmiert;	die vertraute Ordnung der	1993	1995	programmiert
N93	vor. Die schließliche Isolierung der Frau	ist programmiert.	Das Altersheim hat sich schon	1993	1995	programmiert
N93	konfrontiert werden. Konfrontationen	sind programmiert.	Dem tragen die Stadtwerke nun	1993	1995	programmiert
P93	das bringt ja nichts." Der letzte Sprung	ist programmiert,	für Pfingsten in	1993	1995	programmiert
O94	a. D. RICHARD KALLINGER Das Wiedersehen	ist vorprogrammiert:	Erstmals seit ihrem	1994	1995	vorprogrammiert
P94	in Wien. Das nächste Volleyball-Fest	ist programmiert,	Donaukraft-Manager Kleinmann	1994	1995	programmiert
P94	13.März. Manche spannende Konfrontation	ist vorprogrammiert.	So bekommt es der Zweite	1994	1995	vorprogrammiert
N94	zwei Punkte WIEN (SN, APA). "Zwei Punkte	sind programmiert",	erklärt Manager Gunna r	1994	1995	programmiert
N94	zunächst sehr viel, aber gewisse Schäden	sind programmiert."	Hans Holdhaus, Leiter des	1994	1995	programmiert
U94	meisten Kommunen Probleme. Subventionen	sind vorprogrammiert.	Es kann aber auch anders	1994	1995	vorprogrammiert
NUN94	zusammen und der Unfall	ist vorprogrammiert."	Seelisches Leid Traurige	1994	1995	vorprogrammiert
U94	zwischen Industrie und Regierung	sind programmiert.	Bei allem Respekt für den	1994	1995	programmiert
O94	D er SP-interne Wirbel	ist vorprogrammiert.	Die Sozial"demokraten" im	1994	1995	vorprogrammiert
N94	Doch Konflikte mit der weißen Bevölkerung	sind programmiert	("Teleskop: Götter und	1994	1995	programmiert
P94	(red.). Der nächste Sturm auf die Loipen	ist vorprogrammiert.	Tausende Fans werden heute	1994	1995	vorprogrammiert
O94	teilen - ausweichen. Die Spannungen	sind vorprogrammiert,	wie die "Neue Zürcher	1994	1995	vorprogrammiert
N94	Abstand von nicht einmal zwanzig Metern	sind vorprogrammiert.	Die Anrainer halten vor	1994	1995	vorprogrammiert
O94	auf Leoben und Mürzzuschlag. Zwei Siege	sind programmiert.	"Wir wollen noch Dritter	1994	1995	programmiert
NUN94	zum Fehlstart. Auch materielle Härten	sind vorprogrammiert:	Das Arbeitslosengeld	1994	1995	vorprogrammiert
P94	Hausbesitzer- und verwalter. "Das Chaos	ist programmiert",	sagte Peter Frigo,	1994	1995	programmiert
P94	"Das Chaos	ist programmiert"	WIEN (kom). Kritik am neuen	1994	1995	programmiert
U94	Griff in die Taschen der Gebührenzahler	ist vorprogrammiert	- so gesehen, hat das Jahr	1994	1995	vorprogrammiert
N94	seit dem 2. Weltkrieg - Die Staus	sind programmiert	Von Christian Neuwirth,	1994	1995	programmiert
U94	mithalten. Der Sprung in die Bayernliga	ist programmiert,	daß kein Schlendrian	1994	1995	programmiert
U94	zur völligen Dienstleistungsgesellschaft	ist programmiert.	Die Schattenseite, die aber in	1994	1995	programmiert
U94	nicht optimal' registriert, der Umstieg	ist programmiert.	Es ist zu bezweifeln, daß	1994	1995	programmiert
O94	Finale Adriane Burg gegen Martina Rabl	ist programmiert.	Bei den Herren will Routinier	1994	1995	programmiert
U94	exekutiert sie grandios. Doch der Sturz	ist programmiert	- der Pyrrhussieg über einen	1994	1995	programmiert
P94	fehlt. Viele "Abstürze" oder "Ausstiege"	sind vorprogrammiert.	Das bedeutet den Verlust	1994	1995	vorprogrammiert
U94	hat.' Die nächste Auseinandersetzung	ist programmiert:	Zum Auftakt des	1994	1995	programmiert
O94	der Schweiz angereist - drei Meistertitel	sind "programmiert".	Weltcupsieg in Rom, Platz	1994	1995	programmiert
P94	keine gleicht der anderen. Jeder Spieler	ist programmiert;	die Choreographie entwickelt	1994	1995	programmiert
U94	Filmfestspielen in Berlin erhielt,	ist programmiert.	Er endet nach einigen	1994	1995	programmiert
NUN94	als äußerst riskant. "Reibungen"	sind programmiert.	Einar Schleef machte als	1994	1995	programmiert
U94	auf der grünen Wiese. Konflikte	sind programmiert.	Insbesondere die	1994	1995	programmiert
NUN94	Die Konfrontation	ist programmiert.	Georg Haas gibt als Grund für	1994	1995	programmiert
N94	Tihomir Dragoslavic. Aber ein Zähler	ist programmiert",	bleibt Trainer Ernst Knorrek	1994	1995	programmiert
U94	wird einstudiert, zuviel an Text	ist vorprogrammiert.	Das nimmt der	1994	1995	vorprogrammiert
P94	Spannungen bei der künftigen Regierung	sind programmiert.	Leicht wird die	1994	1995	programmiert
NUN94	Truppen stationiert. Spannungen	sind programmiert.	Keine Kommentare Obwohl die	1994	1995	programmiert
O94	erweitert. Bürgerproteste	sind vorprogrammiert.	Ausgerechnet im	1994	1995	vorprogrammiert
O94	gegen Söhne Dieser Generationenkonflikt	ist vorprogrammiert:	Sonntag ab 14 Uhr treten	1994	1995	vorprogrammiert
O94	Stellvertretern. Das erneute Scheitern	ist vorprogrammiert:	Offizielle	1994	1995	vorprogrammiert
P94	und Funktionäre des bisherigen Systems	ist programmiert.	Bevor er ausgestoßen wird,	1994	1995	programmiert
